"raceId","year","round","circuitId","GPname","date","startTime","circuitRef","circuitName","location","country","lat","lng","alt","continent"
1082,2022,9,7,"Canadian Grand Prix","2022-06-19","18:00:00","villeneuve","Circuit Gilles Villeneuve","Montreal","Canada",45.5,-73.5228,13,"North America"
1083,2022,10,9,"British Grand Prix","2022-07-03","14:00:00","silverstone","Silverstone Circuit","Silverstone","UK",52.0786,-1.01694,153,"Europe"
1084,2022,11,70,"Austrian Grand Prix","2022-07-10","13:00:00","red_bull_ring","Red Bull Ring","Spielberg","Austria",47.2197,14.7647,678,"Europe"
1085,2022,12,34,"French Grand Prix","2022-07-24","13:00:00","ricard","Circuit Paul Ricard","Le Castellet","France",43.2506,5.79167,432,"Europe"
1086,2022,13,11,"Hungarian Grand Prix","2022-07-31","13:00:00","hungaroring","Hungaroring","Budapest","Hungary",47.5789,19.2486,264,"Europe"
1087,2022,14,13,"Belgian Grand Prix","2022-08-28","13:00:00","spa","Circuit de Spa-Francorchamps","Spa","Belgium",50.4372,5.97139,401,"Europe"
1088,2022,15,39,"Dutch Grand Prix","2022-09-04","13:00:00","zandvoort","Circuit Park Zandvoort","Zandvoort","Netherlands",52.3888,4.54092,6,"Europe"
1089,2022,16,14,"Italian Grand Prix","2022-09-11","13:00:00","monza","Autodromo Nazionale di Monza","Monza","Italy",45.6156,9.28111,162,"Europe"
1091,2022,17,15,"Singapore Grand Prix","2022-10-02","12:00:00","marina_bay","Marina Bay Street Circuit","Marina Bay","Singapore",1.2914,103.864,18,"Asia"
1092,2022,18,22,"Japanese Grand Prix","2022-10-09","05:00:00","suzuka","Suzuka Circuit","Suzuka","Japan",34.8431,136.541,45,"Asia"
1093,2022,19,69,"United States Grand Prix","2022-10-23","19:00:00","americas","Circuit of the Americas","Austin","USA",30.1328,-97.6411,161,"North America"
1094,2022,20,32,"Mexico City Grand Prix","2022-10-30","20:00:00","rodriguez","Autódromo Hermanos Rodríguez","Mexico City","Mexico",19.4042,-99.0907,2227,"North America"
1095,2022,21,18,"São Paulo Grand Prix","2022-11-13","18:00:00","interlagos","Autódromo José Carlos Pace","São Paulo","Brazil",-23.7036,-46.6997,785,"South America"
1096,2022,22,24,"Abu Dhabi Grand Prix","2022-11-20","13:00:00","yas_marina","Yas Marina Circuit","Abu Dhabi","UAE",24.4672,54.6031,3,"Asia"
1098,2023,1,3,"Bahrain Grand Prix","2023-03-05","15:00:00","bahrain","Bahrain International Circuit","Sakhir","Bahrain",26.0325,50.5106,7,"Asia"
